lt,rf,fs,side
0.3,20,0,20.16
0.3,20,0,19.662
0.3,20,0,18.979
0.3,20,0,18.577
0.3,20,0,19.979
0.3,20,0,20.434
0.3,20,0,19.306
0.3,20,0,21.556
0.3,20,0,19.291
0.3,80,0,20.27
0.3,80,0,20.293
0.3,80,0,20.359
0.3,80,0,20.177
0.3,80,0,19.629
0.3,80,0,19.084
0.3,80,0,20.09
0.3,80,0,20.125
0.3,80,0,19.658
0.3,80,100,20.711
0.3,80,100,20.093
0.3,80,100,19.168
0.3,80,100,20.785
0.3,80,100,20.435
0.3,80,100,19.938
0.3,80,100,20.776
0.3,80,100,19.871
0.3,50,100,19.983
0.3,50,100,20.133
0.3,50,100,19.81
0.3,50,100,19.98
0.3,50,100,19.735
0.3,50,100,19.529
0.3,50,100,27.101
0.3,20,100,19.836
0.3,20,100,20.206
0.3,20,100,19.736
0.3,20,100,19.523
0.3,20,100,19.905
0.3,20,100,19.509
0.3,20,100,21.162
0.3,50,0,20.27
0.3,50,0,20.342
0.3,50,0,20.348
0.3,50,0,20.118
0.3,50,0,20.302
0.3,50,0,19.807
0.3,50,0,20.534
0.2,20,25,12.623
0.2,20,25,13.148
0.2,20,25,12.615
0.2,20,25,13.223
0.2,20,25,12.641
0.2,20,25,12.905
0.2,20,25,13.914
0.3,50,25,18.902
0.3,50,25,19.455
0.3,50,25,18.772
0.3,50,25,19.536
0.3,50,25,20.234
0.3,50,25,19.66
0.3,50,25,16.685
0.3,80,25,19.102
0.3,80,25,19.537
0.3,80,25,19.559
0.3,80,25,19.11
0.3,80,25,19.218
0.3,80,25,21.026
0.3,80,25,19.921
0.2,50,25,13.406
0.2,50,25,13.307
0.2,50,25,13.592
0.2,50,25,13.195
0.2,50,25,13.531
0.2,50,25,15.156
0.2,50,25,11.414
0.1,80,25,12.787
0.1,80,25,13.403
0.1,80,25,12.643
0.1,80,25,12.202
0.1,80,25,13.063
0.1,80,25,12.715
0.1,80,25,15.899
0.2,80,25,13.403
0.2,80,25,13.422
0.2,80,25,13.125
0.2,80,25,13.16
0.2,80,25,12.986
0.2,80,25,13.082
0.2,80,25,14.211
0.2,20,50,13.508
0.2,20,50,13.594
0.2,20,50,13.337
0.2,20,50,12.885
0.2,20,50,12.869
0.2,20,50,13.069
0.2,20,50,14.861
0.1,80,50,12.927
0.1,80,50,13.105
0.1,80,50,13.221
0.1,80,50,12.411
0.1,80,50,13.983
0.1,80,50,13.03
0.1,80,50,15.188
0.2,50,50,12.707
0.2,50,50,14.297
0.2,50,50,13.614
0.2,50,50,13.438
0.2,50,50,14.161
0.2,50,50,13.91
0.2,50,50,18.532
0.1,20,50,13.005
0.1,20,50,12.607
0.1,20,50,12.655
0.1,20,50,12.43
0.1,20,50,12.544
0.1,20,50,12.268
0.1,20,50,13.836
0.1,80,0,12.231
0.1,80,0,13.04
0.1,80,0,13.566
0.1,80,0,12.224
0.1,80,0,12.991
0.1,80,0,12.824
0.1,80,0,17.806
0.1,50,0,13.507
0.1,50,0,13.397
0.1,50,0,13.252
0.1,50,0,12.967
0.1,50,0,12.816
0.1,50,0,12.555
0.1,50,0,13.442
0.2,20,0,13.044
0.2,20,0,13.949
0.2,20,0,13.439
0.2,20,0,13.744
0.2,20,0,13.663
0.2,20,0,13.344
0.2,20,0,15.022
0.2,80,50,13.441
0.2,80,50,13.369
0.2,80,50,12.807
0.2,80,50,13.447
0.2,80,50,12.911
0.2,80,50,13.637
0.2,80,50,13.858
0.2,20,100,15.405
0.2,20,100,12.736
0.2,20,100,11.804
0.2,20,100,13.475
0.2,20,100,13.393
0.2,20,100,13.241
0.2,20,100,16.521
0.1,80,75,12.969
0.1,80,75,13.147
0.1,80,75,13.173
0.1,80,75,12.705
0.1,80,75,13.094
0.1,80,75,15.815
0.1,80,75,14.351
0.2,80,0,13.34
0.2,80,0,13.576
0.2,80,0,13.287
0.2,80,0,13.538
0.2,80,0,12.617
0.2,80,0,13.287
0.2,80,0,14.735
0.1,20,0,13.205
0.1,20,0,12.674
0.1,20,0,12.944
0.1,20,0,13.063
0.1,20,0,13.121
0.1,20,0,13.659
0.1,20,0,13.794
0.1,80,100,12.334
0.1,80,100,13.254
0.1,80,100,13.156
0.1,80,100,13.318
0.1,80,100,12.628
0.1,80,100,12.768
0.1,80,100,14.588
0.2,80,100,12.949
0.2,80,100,14.107
0.2,80,100,13.585
0.2,80,100,13.925
0.2,80,100,13.498
0.2,80,100,13.418
0.2,80,100,15.802
0.2,50,100,13.747
0.2,50,100,13.851
0.2,50,100,13.658
0.2,50,100,13.249
0.2,50,100,13.233
0.2,50,100,13.8
0.2,50,100,14.234
0.1,20,100,13.274
0.1,20,100,13.418
0.1,20,100,13.099
0.1,20,100,12.974
0.1,20,100,12.682
0.1,20,100,13.475
0.1,20,100,13.539
0.3,20,25,18.901
0.3,20,25,18.88
0.3,20,25,19.107
0.3,20,25,19.361
0.3,20,25,18.824
0.3,20,25,18.484
0.3,20,25,20.841
0.2,50,0,13.129
0.2,50,0,13.424
0.2,50,0,13.663
0.2,50,0,13.322
0.2,50,0,14.087
0.2,50,0,13.427
0.2,50,0,14.554
0.2,50,75,12.989
0.2,50,75,12.369
0.2,50,75,12.689
0.2,50,75,12.781
0.2,50,75,12.259
0.2,50,75,12.359
0.2,50,75,13.822
0.2,80,75,13.523
0.2,80,75,13.31
0.2,80,75,13.399
0.2,80,75,13.218
0.2,80,75,13.237
0.2,80,75,13.541
0.2,80,75,14.008
0.1,20,75,13.258
0.1,20,75,13.105
0.1,20,75,13.263
0.1,20,75,13.149
0.1,20,75,12.869
0.1,20,75,12.627
0.1,20,75,13.918
0.1,50,75,12.236
0.1,50,75,13.616
0.1,50,75,13.669
0.1,50,75,13.019
0.1,50,75,12.44
0.1,50,75,13.362
0.1,50,75,14.352
0.2,20,75,13.53
0.2,20,75,13.659
0.2,20,75,13.505
0.2,20,75,12.399
0.2,20,75,12.708
0.2,20,75,13.402
0.2,20,75,13.764
0.1,50,50,12.572
0.1,50,50,13.214
0.1,50,50,12.434
0.1,50,50,12.885
0.1,50,50,12.341
0.1,50,50,12.888
0.1,50,50,13.17
0.1,50,100,12.987
0.1,50,100,12.767
0.1,50,100,13.254
0.1,50,100,13.236
0.1,50,100,13.417
0.1,50,100,13.419
0.1,50,100,14.713
0.1,20,25,13.082
0.1,20,25,12.503
0.1,20,25,13.341
0.1,20,25,13.154
0.1,20,25,13.468
0.1,20,25,12.566
0.1,20,25,16.918
0.3,20,75,19.027
0.3,20,75,19.491
0.3,20,75,20.228
0.3,20,75,18.614
0.3,20,75,19.843
0.3,20,75,19.449
0.3,20,75,20.987
0.1,50,25,13.214
0.1,50,25,13.138
0.1,50,25,13.824
0.1,50,25,12.382
0.1,50,25,13.031
0.1,50,25,12.636
0.1,50,25,14.21
0.3,50,75,18.884
0.3,50,75,19.279
0.3,50,75,19.312
0.3,50,75,19.646
0.3,50,75,18.689
0.3,50,75,19.28
0.3,50,75,20.697
