lt,rf,fs,top/bottom,Status
0.3,20,0,5.174,simple
0.3,20,0,6.856,
0.3,20,0,2.998,medium
0.3,20,0,8.812,
0.3,20,0,1.353,complex
0.3,80,0,3.089,simple
0.3,80,0,4.691,
0.3,80,0,1.77,medium
0.3,80,0,13.471,
0.3,80,0,1.998,complex
0.3,80,100,7.132,simple
0.3,80,100,4.346,
0.3,80,100,3.607,medium
0.3,80,100,19.996,
0.3,80,100,7.64,complex
0.3,50,100,10.242,simple
0.3,50,100,6.719,
0.3,50,100,4.697,medium
0.3,50,100,9.954,
0.3,50,100,17.391,complex
0.3,20,100,6.259,simple
0.3,20,100,2.906,
0.3,20,100,2.955,medium
0.3,20,100,5.961,
0.3,20,100,3.119,complex
0.3,50,0,5.346,simple
0.3,50,0,2.392,
0.3,50,0,1.059,medium
0.3,50,0,10.716,
0.3,50,0,1.733,complex
0.2,20,25,6.161,simple
0.2,20,25,4.694,
0.2,20,25,4.353,medium
0.2,20,25,3.918,
0.2,20,25,4.838,complex
0.3,50,25,7.424,simple
0.3,50,25,7.656,
0.3,50,25,3.332,medium
0.3,50,25,9.627,
0.3,50,25,1.106,complex
0.3,80,25,6.294,simple
0.3,80,25,5.266,
0.3,80,25,8.725,medium
0.3,80,25,25.102,
0.3,80,25,9.251,complex
0.2,50,25,5.965,simple
0.2,50,25,1.662,
0.2,50,25,1.581,medium
0.2,50,25,6.873,
0.2,50,25,1.242,complex
0.1,80,25,7.893,simple
0.1,80,25,9.254,
0.1,80,25,0.804,medium
0.1,80,25,9.678,
0.1,80,25,3.432,complex
0.2,80,25,2.13,simple
0.2,80,25,5.385,
0.2,80,25,1.11,medium
0.2,80,25,3.998,
0.2,80,25,1.205,complex
0.2,20,50,7.791,simple
0.2,20,50,2.817,
0.2,20,50,2.546,medium
0.2,20,50,5.974,
0.2,20,50,1.661,complex
0.1,80,50,8.089,simple
0.1,80,50,11.41,
0.1,80,50,4.239,medium
0.1,80,50,5.813,
0.1,80,50,3.378,complex
0.2,50,50,6.427,simple
0.2,50,50,0.609,
0.2,50,50,0.785,medium
0.2,50,50,5.725,
0.2,50,50,2.498,complex
0.1,20,50,5.27,simple
0.1,20,50,5.704,
0.1,20,50,5.391,medium
0.1,20,50,4.169,
0.1,20,50,6.226,complex
0.1,80,0,7.081,simple
0.1,80,0,3.035,
